Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1",0,1,1,"1",1,5929,""
2,"2",0,2,1,"1",1,5929,""
3,"3",0,3,1,"1",1,5929,""
4,"4",0,4,0,"1930",7,5929,""
5,"1",0,1,1,"1",1,20157,""
6,"2",0,2,1,"1",1,20157,""
7,"3",0,3,1,"1",1,20157,""
8,"4",0,4,0,"14",8,20157,""
9,"1",0,1,1,"1",1,17902,""
10,"2",0,2,1,"1",1,17902,""
11,"4",0,3,1,"1",1,17902,""
12,"3",0,4,1,"1",1,17902,""
13,"1",0,1,1,"1",1,17037,""
14,"2",0,2,1,"1",1,17037,""
15,"4",0,3,0,"1930",7,17037,""
16,"3",0,4,1,"1",1,17037,""
17,"1",0,1,1,"1",1,15950,""
18,"2",0,2,1,"1",1,15950,""
19,"4",0,3,0,"1930",7,15950,""
20,"3",0,4,1,"1",1,15950,""
21,"1",0,1,1,"1",1,15922,""
22,"2",0,2,1,"1",1,15922,""
23,"4",0,3,0,"1930",7,15922,""
24,"3",0,4,1,"1",1,15922,""
25,"1",0,1,1,"1",1,15949,""
26,"2",0,2,1,"1",1,15949,""
27,"4",0,3,0,"1930",7,15949,""
28,"3",0,4,1,"1",1,15949,""
29,"1",0,1,1,"1",1,16661,""
30,"2",0,2,1,"1",1,16661,""
31,"4",0,3,0,"1930",7,16661,""
32,"3",0,4,1,"1",1,16661,""
33,"1",0,1,1,"1",1,17109,""
34,"2",0,2,1,"1",1,17109,""
35,"4",0,3,0,"1930",7,17109,""
36,"3",0,4,1,"1",1,17109,""
37,"1",0,1,1,"1",1,16214,""
38,"2",0,2,1,"1",1,16214,""
39,"4",0,3,0,"1930",7,16214,""
40,"3",0,4,1,"1",1,16214,""
41,"1",0,1,1,"1",1,16158,""
42,"2",0,2,1,"1",1,16158,""
43,"4",0,3,0,"1930",7,16158,""
44,"3",0,4,1,"1",1,16158,""
45,"1",0,1,1,"1",1,16245,""
46,"2",0,2,1,"1",1,16245,""
47,"4",0,3,0,"1930",7,16245,""
48,"3",0,4,1,"1",1,16245,""
49,"1",0,1,1,"1",1,16977,""
50,"2",0,2,1,"1",1,16977,""
51,"4",0,3,0,"1930",7,16977,""
52,"3",0,4,1,"1",1,16977,""
53,"5",0,1,1,"1",1,16580,""
54,"6",0,2,0,"1930",7,16580,""
55,"4",0,3,0,"1930",7,16580,""
56,"3",0,4,1,"1",1,16580,""
57,"5",0,1,1,"1",1,15546,""
58,"6",0,2,0,"1930",7,15546,""
59,"4",0,3,0,"1930",7,15546,""
60,"3",0,4,1,"1",1,15546,""
61,"5",0,1,1,"1",1,15584,""
62,"6",0,2,0,"1930",7,15584,""
63,"4",0,3,0,"1930",7,15584,""
64,"3",0,4,1,"1",1,15584,""
65,"5",0,1,1,"1",1,15532,""
66,"6",0,2,0,"1930",7,15532,""
67,"4",0,3,0,"1930",7,15532,""
68,"3",0,4,1,"1",1,15532,""
69,"5",0,1,1,"1",1,16298,""
70,"6",0,2,0,"1930",7,16298,""
71,"4",0,3,0,"1930",7,16298,""
72,"3",0,4,1,"1",1,16298,""